       fig   fim   fiw  fsg  fsm  fsg   op          loss
3802  -1.0  -1.0   0.0  0.5  0.5  0.5  ADD  1.525118e-02
3538  -1.0   0.0   1.0  0.5  0.5  0.5  ADD  1.549791e-02
2118   1.0   0.0   0.0  0.1  0.1  0.1  ADD  1.555287e-02
819    0.0   0.0   1.0  0.5  0.5  0.5  ADD  1.589347e-02
360    0.0   0.0   1.0  0.5  0.5  0.5  ADD  1.767864e-02
630    0.0   0.0   0.0  0.5  0.5  0.5  ADD  1.919870e-02
3723   0.0   0.0   0.0  0.5  0.5  0.5  ADD  1.975165e-02
2843  -1.0   0.0   0.0  0.5  0.5  0.5  ADD  2.052574e-02
3702  -1.0   0.0  -1.0  0.5  0.5  0.5  ADD  2.096652e-02
2082  -1.0   0.0   0.0  0.5  0.5  0.5  ADD  2.105461e-02
2404   1.0   0.0   1.0  0.5  0.5  0.5  ADD  2.151416e-02
1256   0.0   0.0   1.0  0.5  0.5  0.5  ADD  2.198990e-02
823   -1.0   1.0   1.0  0.5  0.5  0.5  ADD  2.339758e-02
3541   0.0   1.0  -1.0  0.5  0.5  0.5  ADD  2.429122e-02
2218   1.0   1.0  -1.0  0.1  0.1  0.1  ADD  2.442203e-02
3902  -1.0   0.0   1.0  0.5  0.5  0.5  ADD  2.542679e-02
4313   1.0   1.0  -1.0  0.1  0.1  0.1  ADD  2.567362e-02
491    1.0   0.0   1.0  0.5  0.5  0.5  ADD  2.809371e-02
3147   1.0   1.0  -1.0  0.5  0.5  0.5  ADD  3.205388e-02
270    1.0   0.0   0.0  0.1  0.1  0.1  ADD  3.380158e-02
3164   0.0   1.0   0.0  0.5  0.5  0.5  ADD  3.536606e-02
2205  -1.0   1.0   0.0  0.5  0.5  0.5  ADD  3.783223e-02
2451  -1.0   0.0   0.0  0.5  0.5  0.5  ADD  3.815527e-02
1090   1.0   1.0   0.0  0.1  0.1  0.1  ADD  4.049617e-02
4174   0.0   0.0   0.0  0.5  0.5  0.5  ADD  4.167026e-02
1784   0.0   0.0   0.0  0.5  0.5  0.5  ADD  4.289423e-02
3357   1.0   0.0   0.0  0.1  0.1  0.1  ADD  4.347607e-02
260    1.0   1.0   1.0  0.5  0.5  0.5  ADD  4.780106e-02
1058   1.0   0.0   1.0  0.5  0.5  0.5  ADD  4.854787e-02
66    -1.0   0.0   0.0  0.5  0.5  0.5  ADD  4.886078e-02
1278   1.0   1.0  -1.0  0.1  0.1  0.1  ADD  4.894310e-02
2983   0.0   1.0   0.0  0.5  0.5  0.5  ADD  5.129338e-02
1355   0.0   1.0   0.0  0.5  0.5  0.5  ADD  5.460866e-02
658   -1.0   1.0   1.0  0.5  0.5  0.5  ADD  5.829432e-02
1742   1.0   1.0   1.0  0.5  0.5  0.5  ADD  5.892342e-02
2940   1.0   0.0   0.0  0.5  0.5  0.5  ADD  6.211856e-02
1671  -1.0   0.0   0.0  0.5  0.5  0.5  ADD  6.407968e-02
2256   0.0   1.0   1.0  0.5  0.5  0.5  ADD  6.411732e-02
3595   0.0   0.0   0.0  0.5  0.5  0.5  ADD  6.521056e-02
3493  -1.0   1.0   1.0  0.5  0.5  0.5  ADD  6.550176e-02
1527   1.0   0.0   0.0  0.5  0.5  0.5  ADD  6.623182e-02
1540   1.0   1.0  -1.0  0.5  0.5  0.5  ADD  6.824262e-02
1045   0.0   1.0   1.0  0.5  0.5  0.5  ADD  6.995471e-02
1268   0.0   1.0   1.0  0.5  0.5  0.5  ADD  7.166225e-02
90     1.0   0.0   0.0  0.1  0.1  0.1  ADD  7.446127e-02
4002   0.0   1.0   0.0  0.5  0.5  0.5  ADD  7.573867e-02
3737   1.0   0.0   0.0  0.1  0.1  0.1  ADD  7.878800e-02
1423   1.0   1.0   0.0  0.1  0.1  0.1  ADD  7.984690e-02
3568   1.0   1.0   0.0  0.1  0.1  0.1  ADD  8.207444e-02
932    1.0   0.0   0.0  0.1  0.1  0.1  ADD  8.308791e-02
350    1.0   1.0   0.0  0.5  0.5  0.5  ADD  8.685667e-02
1475   0.0   1.0   0.0  0.5  0.5  0.5  ADD  8.937680e-02
2270   1.0   1.0   0.0  0.5  0.5  0.5  ADD  9.908774e-02
1311   1.0   0.0   0.0  0.5  0.5  0.5  ADD  1.077443e-01
3621   1.0   1.0   0.0  0.1  0.1  0.1  ADD  1.086489e-01
2290   1.0   0.0   0.0  0.5  0.5  0.5  ADD  1.169774e-01
192    0.0   0.0   0.0  0.5  0.5  0.5  ADD  1.284527e-01
232    1.0   0.0   0.0  0.5  0.5  0.5  ADD  1.390387e-01
1954  -1.0  -1.0  -1.0  0.5  0.5  0.5  ADD  1.657017e-01
599    0.0   1.0   0.0  0.1  0.1  0.1  ADD  1.680227e-01
2342   0.0   1.0   0.0  0.5  0.5  0.5  ADD  1.733309e-01
3769   1.0   0.0   0.0  0.1  0.1  0.1  ADD  1.739387e-01
3319  -1.0   0.0   0.0  0.5  0.5  0.5  ADD  1.798667e-01
1389   1.0   0.0   0.0  0.5  0.5  0.5  ADD  1.809770e-01
3838   1.0   0.0   0.0  0.5  0.5  0.5  ADD  1.864890e-01
2896   1.0   0.0   0.0  0.5  0.5  0.5  ADD  1.873172e-01
3810   0.0  -1.0   0.0  0.5  0.5  0.5  ADD  1.917905e-01
1533   1.0   1.0   0.0  0.1  0.1  0.1  ADD  2.020217e-01
2257   1.0   1.0   0.0  0.5  0.5  0.5  ADD  2.038719e-01
2981   0.0   0.0   1.0  0.5  0.5  0.5  ADD  2.118203e-01
